memory_type,memory_size_gb,memory_speed_mhz,memory_latency,memory_voltage,memory_form_factor,memory_ecc_support,memory_heat_spreader,memory_rgb_lighting,memory_warranty_years
DDR4,5,2566,10.5,1.28,UDIMM,true,false,true,1
DDR3,11,831,11.6,1.25,SODIMM,false,false,false,2
DDR5,46,3010,15.8,1.47,DIMM,true,true,false,3
DDR4,53,1524,13.8,1.35,DIMM,false,false,false,3
DDR4,2,2738,18.3,1.22,DIMM,true,true,true,5
DDR5,39,3532,17.0,1.32,DIMM,true,false,true,4
DDR3,45,3071,13.0,1.29,UDIMM,false,true,false,3
DDR4,59,3709,19.9,1.39,DIMM,true,true,true,2
DDR3,63,1940,17.3,1.29,UDIMM,false,true,false,10
DDR4,9,3636,10.2,1.24,DIMM,false,true,true,10
DDR5,7,3857,12.3,1.38,DIMM,true,true,true,2
DDR3,62,2364,9.9,1.28,UDIMM,true,true,true,5
DDR4,33,3957,11.0,1.35,SODIMM,true,true,false,2
DDR5,45,2130,9.8,1.49,SODIMM,true,false,true,7
DDR3,22,2288,19.2,1.31,SODIMM,false,true,false,10
DDR3,7,3578,18.8,1.2,SODIMM,false,false,false,8
DDR5,23,2894,19.3,1.32,SODIMM,false,true,false,10
DDR5,57,3130,16.3,1.29,UDIMM,true,false,true,3
DDR3,51,841,15.9,1.38,UDIMM,true,true,true,6
DDR3,17,3718,11.4,1.33,SODIMM,false,false,true,9
DDR5,47,1035,11.1,1.47,UDIMM,false,true,true,10
DDR3,54,829,10.5,1.46,UDIMM,false,false,false,6
DDR3,61,2717,19.8,1.33,UDIMM,true,true,true,2
DDR3,29,4720,15.3,1.41,DIMM,false,true,false,1
DDR3,38,1582,15.8,1.29,SODIMM,false,true,true,8
DDR4,35,1392,12.2,1.41,UDIMM,true,false,true,2
DDR3,15,2914,9.7,1.32,SODIMM,false,true,true,8
DDR3,46,4658,14.7,1.32,DIMM,true,false,false,1
DDR5,39,1697,12.0,1.27,DIMM,true,true,false,8
DDR4,36,4455,12.9,1.42,DIMM,false,false,false,7
DDR3,28,3584,12.8,1.45,DIMM,false,true,true,6
DDR3,38,3756,11.1,1.4,DIMM,false,false,false,7
DDR4,5,4463,12.9,1.45,UDIMM,true,false,true,2
DDR5,41,1346,14.7,1.37,UDIMM,false,true,true,3
DDR4,26,1892,11.1,1.33,DIMM,true,true,true,1
DDR3,64,2907,10.5,1.31,SODIMM,true,true,true,9
DDR3,5,3829,12.2,1.33,DIMM,true,false,false,10
DDR5,52,4689,18.1,1.25,DIMM,false,true,false,9
DDR4,21,2366,18.9,1.22,SODIMM,true,true,true,4
DDR5,27,3768,11.1,1.42,SODIMM,false,true,true,4
DDR5,53,975,9.1,1.21,SODIMM,true,true,true,1
DDR5,15,2255,9.7,1.43,DIMM,true,false,false,8
DDR3,50,4765,10.7,1.29,UDIMM,false,true,false,3
DDR3,4,3679,17.8,1.21,UDIMM,true,false,false,2
DDR3,59,1769,11.6,1.24,DIMM,true,true,true,6
DDR5,28,2232,11.1,1.26,DIMM,true,true,false,6
DDR4,29,1283,10.8,1.23,DIMM,true,false,true,5
DDR5,1,2401,16.1,1.24,UDIMM,true,false,true,10
DDR4,14,4407,10.7,1.43,DIMM,true,true,true,2
DDR3,19,4491,18.5,1.27,UDIMM,false,true,false,5
DDR5,64,4152,11.6,1.5,UDIMM,false,false,false,7
DDR4,30,2878,13.2,1.42,SODIMM,false,true,true,1
DDR5,6,1514,12.1,1.46,SODIMM,false,false,true,4
DDR5,60,4159,9.9,1.39,SODIMM,true,true,true,2
DDR4,24,1220,19.7,1.31,SODIMM,true,false,false,2
DDR3,8,3571,9.9,1.35,DIMM,true,true,false,2
DDR5,37,2117,13.1,1.3,UDIMM,true,true,true,8
DDR4,21,4558,10.9,1.48,SODIMM,true,true,false,9
DDR5,44,1417,18.8,1.49,UDIMM,false,true,true,5
DDR5,37,2176,14.4,1.27,UDIMM,false,false,true,3
DDR5,48,2360,11.8,1.47,UDIMM,true,true,false,3
DDR5,27,2485,11.5,1.47,SODIMM,true,false,false,7
DDR5,60,1509,13.4,1.36,DIMM,true,false,false,8
DDR4,17,4727,11.9,1.36,DIMM,false,true,true,7
DDR5,58,2504,17.9,1.48,DIMM,false,true,false,9
DDR3,58,3417,19.6,1.31,UDIMM,true,false,true,10
DDR4,29,4778,9.6,1.43,SODIMM,false,false,true,1
DDR3,47,1574,10.1,1.46,SODIMM,false,false,false,8
DDR5,3,1749,11.1,1.48,UDIMM,true,true,true,5
DDR3,21,3754,11.1,1.32,DIMM,false,true,false,2
DDR3,52,4511,18.7,1.39,UDIMM,false,false,true,6
DDR5,37,3570,9.0,1.27,SODIMM,true,true,false,9
DDR3,58,3445,17.9,1.41,UDIMM,false,true,false,2
DDR4,63,3927,15.7,1.21,DIMM,false,false,true,2
DDR5,58,2026,13.5,1.43,DIMM,false,false,false,7
DDR4,17,3088,16.4,1.47,SODIMM,false,true,true,2
DDR4,2,4589,13.4,1.24,UDIMM,false,false,false,5
DDR3,42,2307,9.9,1.46,SODIMM,true,false,false,4
DDR3,6,3927,17.7,1.34,SODIMM,false,false,false,9
DDR5,55,1367,10.9,1.41,UDIMM,true,false,false,6
DDR5,8,3314,11.6,1.36,SODIMM,true,false,true,1
DDR5,19,2049,15.8,1.44,DIMM,true,false,false,9
DDR5,2,2580,11.1,1.32,UDIMM,true,false,false,2
DDR3,43,4726,10.7,1.3,UDIMM,true,true,false,2
DDR4,7,2714,17.2,1.39,DIMM,false,true,false,7
DDR3,23,4671,10.4,1.42,UDIMM,false,false,false,8
DDR5,53,4776,19.6,1.25,UDIMM,true,false,true,10
DDR4,41,4646,14.2,1.26,UDIMM,true,true,false,10
DDR3,6,4291,12.2,1.21,SODIMM,false,false,true,1
DDR3,52,1288,15.5,1.2,SODIMM,false,false,false,5
DDR3,8,2379,13.0,1.4,SODIMM,false,false,false,4
DDR5,26,3143,11.3,1.32,DIMM,true,true,false,10
DDR5,43,3478,12.5,1.46,UDIMM,true,false,false,6
DDR5,50,3165,9.6,1.32,SODIMM,true,false,false,3
DDR5,9,2877,14.5,1.27,SODIMM,true,false,false,9
DDR3,59,3068,11.2,1.22,SODIMM,false,true,false,10
DDR3,16,1220,19.0,1.39,UDIMM,false,true,true,8
DDR4,38,1444,18.5,1.46,SODIMM,true,true,false,9
DDR5,17,1469,16.6,1.21,DIMM,true,true,false,6
DDR3,62,3233,19.7,1.26,UDIMM,true,true,true,1
